channel_id,channel_title,view_count
UCf5CjDJvsFvtVIhkfmKAwAA,Amazon MGM Studios,28336699
UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,15878489
UCuPivVjnfNo4mb3Oog_frZg,A24,9276363
UCJ6nMHaJPZvsJ-HmUmj1SeA,Lionsgate Movies,9234211
UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Studios,8850519
UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,8810617
UC1Myj674wRVXB9I4c6Hm5zA,Apple TV,8521264
UCqNsFioLEaG2NQpYGvidLPg,AsakeVEVO,5706334
UCvC4D8onUfXzvjTOM-dBfEA,Marvel Entertainment,5113512
UCkzzNLnuM-VsATWC53ehwOQ,Wemmbu,4014851
UCQJWtTnAHhEG5w4uN0udnUQ,Prime Video,3831938
UCvYPobTo42NM36X7VC4dLhA,FlameFrags,3623782
UCelCus7IWSe0a1k-NZE9rYg,SeyiVibezVEVO,2742788
UCHGS5f4M5Ix1HEEFYB0e7Lg,DJ Tunez,1988252
UCYzEMRKqrh01-tauv7MYyVQ,MSA,1661507
UChCu7JmWByOod4xdH7IVJ_g,FREDOPG,1390539
UCSzWQmDsKG37iKN2vw1G-2Q,Don Toliver - Topic,1136750
UC25DGtgYk5TwdksvtpeWYvA,Wizkid - Topic,847671
UC0ajkOzj8xE3Gs3LHCE243A,J. Cole - Topic,609365
UCNeLs83EPGjX8Pz7wsiBckw,Lawrence Oyor,559166
UC9YHyj7QSkkSg2pjQ7M8Khg,Paramount Movies,556752
UChR1Yn7YpVrnP-SbsWtjuBA,S2G,409097
UCWUxsoGia86OYIbxhjg68WQ,Skiddzie,403813
UCCEThwRRqIpWw9kzfFmghLg,Heartbeat Theater,348696
UCZcwaOZ5WXBIohR-Ui8sBHg,Lekaa - Topic,324944
UCRcFzNorSvQQ9wckhicB5cg,Kaestrings,309420
UCoRjsuzMh-MqfRjvlqaVLPw,Techys,293310
UC8BzJM6_VbZTdiNLD4R1jxQ,GMMTV OFFICIAL​​,256174
UCh-VZa381UUDND3OtMKLudg,Victony - Topic,229203
UCw9rjdrpHa7mzNrWVJoaPgw,MoreS2G,202997
UCvzTJH6G9bH5nCQ1Hfb8nGg,9AL Games,199253
UC1Yw2qT0LeI0_xZXxT9iHeQ,Tijjani Gandu TV,196790
UC8eKS_lqouqwRuQcdkgAlow,Danmusa New Prince,159531
UCLrGha-ozRW-ETh_1FcXxFA,AL-HAYAT INTERNATIONAL TV,127840
UC9unpsMUkOGDIMraqBfZtYg,Dunsin Oyekan,119107
UCiR-EDBpE0T6HfU2OM5zuEQ,Mavo,110901
UCQdSC4folRoUuPC3iiRkfFQ,eFootball,94994
UC9Ao1NCycJ70swp156v8mig,KAPTV,86572
UCgGJNhnm9Oz5xoeC-KzUyyQ,HUBBI HAUSA TV,81045
UCm8mkMIoJ_-8hI1_93aY7Pw,AFIZA FOOTBALL LIVE,75480
UC60F2Ngz1ZkAP6v_PwgSY0A,Omah Lay - Topic,68291
UCGXIWzCDPm2t9TLMQNBuxTw,D-plays,65895
UCqr8Q2Vy4Hw3NDxeRUnE6yA,King of prank  TV ,54457
UC2ATe4NbzKm2_Tze3OatFTw,Tokejamiu TV,52732
UC2n5wTJP0a-pWy2dC0cOU7A,Razzy,47072
UCGtV2qzfDCaOlZqLwVNsErA,Mednasah,42059
UCozhavMC5oIn1JxjLuP6D8Q,Bof games,39835
UCMvHXOZne4mmXVz6IGbXcsQ,Shoday - Topic,39468
UC83tx3zGcvQ_rXzsZigTnEA,APATATV+,23701
UCEgMsDCpvDp3D6AewIX_aNg,Efootball Dude,20768
