video_id,title,fetched_date,view_count,previous_view_count,daily_view_growth
_HQ_5p-k_DI,Poppy Playtime Chapter 5 (FULL GAME),2026-02-20,4212629,2041904,2170725
HgMbkitzhEM,“Spider-Noir” – Authentic Black & White Teaser Trailer | Prime Video,2026-02-20,17372837,15307247,2065590
bU8emuzp2BI,4 Pros vs 1000 Players,2026-02-20,12141802,11484002,657800
pX9NPQU5hSg,HOUSE HEAD vs. Security House Battle - Minecraft,2026-02-20,1245295,646852,598443
w50J1jWfC2o,SIDEMEN AMONG US IS BACK,2026-02-20,4287236,3772892,514344
MfDb8isHUtk,Ramadan Series 2026 | The Name I Need with Dr. Omar Suleiman | Official Trailer,2026-02-20,1493082,1236391,256691
HX2cgqnbk1A,Gunna - forever be mine (feat. Wizkid) [Official Video],2026-02-20,761263,535022,226241
xQ3ksFtLHn4,"ROBLOX WOULD YOU RATHER, But It ACTUALLY HAPPENS...",2026-02-20,327840,209348,118492
_-B03kUel1o,Papaoutai (Afro Soul),2026-02-20,1562867,1471882,90985
hyoOMZy85yA,Race to Win Premier League...,2026-02-20,466537,381539,84998
kBI909oqP5I,my Final Season with West Ham...,2026-02-20,211264,148179,63085
X-8B043Fg0I,Adekunle Gold ft Davido - Only God Can Save Me (Official Music Video),2026-02-20,1604082,1563041,41041
FHBUE_BhLCI,"BURY OUR MOTHER Trailer | A Nollywood True Story Starring Mercy Kenneth, Chinenye Eucharia,",2026-02-20,39610,6907,32703
iNnnJjShEcc,MAN UNITED - MBEUMO + SESKO 106 🔥 PACK OPENING + GAMEPLAY 🔥,2026-02-20,169015,137090,31925
u1DK4veQ7gs,FOLA - eko (Short Film) Starring: Funke Akindele,2026-02-20,410060,387173,22887
bYYjCa3Jztw,Mavo – Tumo Weto (Official Music Video),2026-02-20,276560,256456,20104
vVkIiPn8jeg,HOW FAR,2026-02-20,133612,115381,18231
_9cmdJTHshM,Uzo Ano,2026-02-20,173015,155236,17779
MoaJ-rHoENQ,BURN - Dunsin Oyekan ft John Wilds #dunsinoyekan #johnwilds #revival,2026-02-20,561223,544835,16388
LyeIRtOO8BE,Aura Farming in Minecraft...,2026-02-20,375775,360921,14854
co6PjsH6vgM,WITHOUT YOU (SHOWING NOW!!!) - OFFICIAL 2026 MOVIE TRAILER,2026-02-20,120226,105442,14784
caWXwE4WlvQ,Shoday - OBT ft. BhadBoi OML,2026-02-20,614370,600551,13819
dwSUTwd6Spg,DON'T LOVE ME,2026-02-20,405643,392391,13252
3ekNxeY0YA0,join stream now!!!,2026-02-20,1682690,1670641,12049
HEbmrwhXWYs,THEY LOVE ME,2026-02-20,110602,100538,10064
7fXF6CyPG6E,Boyskido - Gimbiyar Hausa (Official Video),2026-02-20,99727,90119,9608
w-iORzK8Xno,DEARLY,2026-02-20,81317,71952,9365
2GzmQrzgZJo,Realize,2026-02-20,117328,108499,8829
n6v1YtTptmA,Zaylevelten - MUZZ,2026-02-20,67060,59137,7923
rVIEWxKRB4A,"Fast & Furious 11 (2026) - Vin Diesel, Dwayne Johnson, Cristiano Ronaldo | Concept Trailer",2026-02-20,170642,163254,7388
ECwjwbsZgug,Papaoutai Dance Version,2026-02-20,70759,65016,5743
G8ph9jEY5lA,MOTHER'S LOVE OFFICIAL TRAILER,2026-02-20,36366,30993,5373
AgsLJX2axCA,EMERE META  Latest Yoruba Movie Trailer | Showing this Friday 13th of Feb.,2026-02-20,61580,57233,4347
kVhDe9i6RJQ,"T.G.B.U (Official Trailer) - Movie Dropping Tomorrow, Thursday, 19th AT 6pm. Only on ESO DIKE TV.",2026-02-20,12649,8419,4230
7dugE32yreI,Best Friends in the World: The Year Between (New Movie Trailer),2026-02-20,282196,279406,2790
0JgFkPO0tr8,كنز رمضان | العرض التشويقي الرسمي,2026-02-20,355519,352841,2678
yG4pGxXBme0,SPIRITUALS 4 OFFICIAL TRAILER || THE WINLOS || FEBRUARY 15TH,2026-02-20,84855,82938,1917
f7jO1Q44i6Q," LAGOS TO GOMORRAH | official Trailer | Laugh, Reflect & Be Challenged!",2026-02-20,44803,43990,813
