video_id,title,fetched_date,rank,previous_rank,daily_rank_change
1Ng0a0aNPas,ENTITY 10 ft SELINA TESTED Official trailer,2025-12-14,35,,
1Ng0a0aNPas,ENTITY 10 ft SELINA TESTED Official trailer,2025-12-15,38,35.0,-3.0
32eHfZNqgLw,ELEGBEJE ADO Official Trailer | Yoruba Movie | Showing  On Wed 17/12/2025 on ApankuforTV,2025-12-14,8,,
32eHfZNqgLw,ELEGBEJE ADO Official Trailer | Yoruba Movie | Showing  On Wed 17/12/2025 on ApankuforTV,2025-12-15,11,8.0,-3.0
4-vy0fo8Ox4,Moon Wakes Up,2025-12-15,30,,
68ldyzIF8Rs,I'M A MESS,2025-12-14,34,,
68ldyzIF8Rs,I'M A MESS,2025-12-15,37,34.0,-3.0
7p5UzP00xXw,Can I Win the Ballon d’Or?,2025-12-14,39,,
7p5UzP00xXw,Can I Win the Ballon d’Or?,2025-12-15,12,39.0,27.0
8JZZvo-gJaU,"TxC, Davido, Shoday & Scotts Maphuma - Nakupenda (Official Music Video) feat. Zlatan & Al Xapo",2025-12-14,1,,
8JZZvo-gJaU,"TxC, Davido, Shoday & Scotts Maphuma - Nakupenda (Official Music Video) feat. Zlatan & Al Xapo",2025-12-15,1,1.0,0.0
8_szlvBLll0,HIS & HERS | Official Trailer | Netflix,2025-12-14,29,,
8_szlvBLll0,HIS & HERS | Official Trailer | Netflix,2025-12-15,32,29.0,-3.0
92DmaYDf_A0,AKANJI ABONILEGBALE (Official Trailer) Latest Yoruba Movie 2025 | Showing Soon On Shosho9ja ,2025-12-14,14,,
92DmaYDf_A0,AKANJI ABONILEGBALE (Official Trailer) Latest Yoruba Movie 2025 | Showing Soon On Shosho9ja ,2025-12-15,8,14.0,6.0
9qXV-Py7XdU,Real Madrid vs Manchester City | Champions League 2025/26 | Ucl Live | PES 21 Simulation,2025-12-14,42,,
9qXV-Py7XdU,Real Madrid vs Manchester City | Champions League 2025/26 | Ucl Live | PES 21 Simulation,2025-12-15,48,42.0,-6.0
BBoUCBG4Z-A,Richer,2025-12-14,19,,
BBoUCBG4Z-A,Richer,2025-12-15,16,19.0,3.0
DWCl2dN6hpg,1 Pro vs 500 Hunters,2025-12-14,30,,
DWCl2dN6hpg,1 Pro vs 500 Hunters,2025-12-15,6,30.0,24.0
EqHKdbIF32c,Real Madrid vs Man City (1-2) Highlights | UEFA Champions League 2025/26,2025-12-14,18,,
EqHKdbIF32c,Real Madrid vs Man City (1-2) Highlights | UEFA Champions League 2025/26,2025-12-15,33,18.0,-15.0
Fv0leN8TmR8,The Boys - Final Season Teaser Trailer | Prime Video,2025-12-14,20,,
Fv0leN8TmR8,The Boys - Final Season Teaser Trailer | Prime Video,2025-12-15,26,20.0,-6.0
Gfp1fVRxOX4,Like That (bomboclatt),2025-12-14,4,,
Gfp1fVRxOX4,Like That (bomboclatt),2025-12-15,7,4.0,-3.0
JIL9DrSzaRk,[LIVE] Arsenal vs Wolves Premier League 25/26 Full Match - Video Game Simulation,2025-12-14,15,,
JIL9DrSzaRk,[LIVE] Arsenal vs Wolves Premier League 25/26 Full Match - Video Game Simulation,2025-12-15,27,15.0,-12.0
JsF-aZdhdvI,Holy Romance,2025-12-14,31,,
JsF-aZdhdvI,Holy Romance,2025-12-15,31,31.0,0.0
MPuK06zUIhc,Pooh Shiesty - FDO [Official Music Video],2025-12-14,40,,
MPuK06zUIhc,Pooh Shiesty - FDO [Official Music Video],2025-12-15,34,40.0,6.0
MkJYSkaygi4,The Drama | Official Teaser HD | A24,2025-12-14,41,,
MkJYSkaygi4,The Drama | Official Teaser HD | A24,2025-12-15,44,41.0,-3.0
